Year CollectionDate Gene Subtype Syn Distance Outlier
2011 2010.967 1-PB2 H3N2 S 25 no
2011 2010.967 1-PB2 H3N2 S 27 no
2011 2011.334 1-PB2 H3N2 S 19 no
2011 2010.775 1-PB2 H3N2 S 29 no
2011 2011.101 1-PB2 H3N2 S 25 no
2011 2010.836 1-PB2 H3N2 S 19 no
2011 2011.219 1-PB2 H3N2 S 33 no
2011 2011.121 1-PB2 H3N2 S 17 no
2011 2011.153 1-PB2 H3N2 S 17 no
2011 2010.608 1-PB2 H3N2 S 19 no
2011 2010.794 1-PB2 H3N2 S 25 no
2011 2010.616 1-PB2 H3N2 S 25 no
2011 2011.244 1-PB2 H3N2 S 33 no
2011 2011.419 1-PB2 H3N2 S 16 no
2011 2010.794 1-PB2 H3N2 S 19 no
2011 2010.762 1-PB2 H3N2 S 19 no
2011 2010.929 1-PB2 H3N2 S 19 no
2011 2010.822 1-PB2 H3N2 S 24 no
2011 2011.055 1-PB2 H3N2 S 23 no
2011 2010.973 1-PB2 H3N2 S 26 no
2011 2010.975 1-PB2 H3N2 S 20 no
2011 2011.033 1-PB2 H3N2 S 26 no
2011 2010.805 1-PB2 H3N2 S 24 no
2011 2011.055 1-PB2 H3N2 S 18 no
2011 2010.877 1-PB2 H3N2 S 20 no
2011 2010.844 1-PB2 H3N2 S 25 no
2011 2010.841 1-PB2 H3N2 S 25 no
2011 2011.49 1-PB2 H3N2 S 18 no
2011 2010.693 1-PB2 H3N2 S 25 no
2011 2010.858 1-PB2 H3N2 S 25 no
2011 2010.819 1-PB2 H3N2 S 20 no
2011 2011 1-PB2 H3N2 S 19 no
2011 2011.033 1-PB2 H3N2 S 17 no
2011 2011.142 1-PB2 H3N2 S 17 no
2012 2011.715 1-PB2 H3N2 S 27 no
2012 2011.699 1-PB2 H3N2 S 23 no
2012 2011.638 1-PB2 H3N2 S 27 no
2012 2011.627 1-PB2 H3N2 S 27 no
2012 2012.033 1-PB2 H3N2 S 19 no
2012 2012.448 1-PB2 H3N2 S 35 no
2012 2011.567 1-PB2 H3N2 S 286 yes
2012 2012.194 1-PB2 H3N2 S 26 no
2012 2011.583 1-PB2 H3N2 S 28 no
2012 2011.967 1-PB2 H3N2 S 28 no
2012 2012.164 1-PB2 H3N2 S 31 no
2012 2011.792 1-PB2 H3N2 S 30 no
2012 2012.276 1-PB2 H3N2 S 28 no
2012 2011.619 1-PB2 H3N2 S 16 no
2012 2012.423 1-PB2 H3N2 S 32 no
2012 2011.682 1-PB2 H3N2 S 28 no
2012 2011.877 1-PB2 H3N2 S 28 no
2012 2011.871 1-PB2 H3N2 S 27 no
2012 2011.91 1-PB2 H3N2 S 18 no
2012 2012.208 1-PB2 H3N2 S 32 no
2012 2012.066 1-PB2 H3N2 S 30 no
2012 2011.63 1-PB2 H3N2 S 32 no
2012 2011.874 1-PB2 H3N2 S 31 no
2012 2011.679 1-PB2 H3N2 S 29 no
2012 2011.718 1-PB2 H3N2 S 31 no
2012 2011.847 1-PB2 H3N2 S 17 no
2012 2011.641 1-PB2 H3N2 S 30 no
2012 2011.509 1-PB2 H3N2 S 24 no
2012 2011.509 1-PB2 H3N2 S 24 no
2012 2011.523 1-PB2 H3N2 S 21 no
2012 2012.011 1-PB2 H3N2 S 34 no
2012 2012.022 1-PB2 H3N2 S 16 no
2012 2012.352 1-PB2 H3N2 S 38 no
2012 2011.701 1-PB2 H3N2 S 31 no
2012 2012.093 1-PB2 H3N2 S 33 no
2012 2012.412 1-PB2 H3N2 S 30 no
2012 2011.567 1-PB2 H3N2 S 286 yes
2012 2011.701 1-PB2 H3N2 S 29 no
2012 2012.377 1-PB2 H3N2 S 30 no
2012 2012.287 1-PB2 H3N2 S 29 no
2012 2011.762 1-PB2 H3N2 S 29 no
2012 2012 1-PB2 H3N2 S 17 no
2012 2012.178 1-PB2 H3N2 S 29 no
2012 2011.811 1-PB2 H3N2 S 31 no
2012 2011.783 1-PB2 H3N2 S 24 no
2012 2012 1-PB2 H3N2 S 19 no
2012 2012.123 1-PB2 H3N2 S 27 no
2012 2011.814 1-PB2 H3N2 S 21 no
2012 2012.049 1-PB2 H3N2 S 27 no
2012 2011.699 1-PB2 H3N2 S 31 no
2013 2013.052 1-PB2 H3N2 S 39 no
2013 2013 1-PB2 H3N2 S 39 no
2013 2012.833 1-PB2 H3N2 S 34 no
2013 2012.574 1-PB2 H3N2 S 299 yes
2013 2012.623 1-PB2 H3N2 S 286 yes
2013 2012.828 1-PB2 H3N2 S 34 no
2013 2012.967 1-PB2 H3N2 S 29 no
2013 2012.768 1-PB2 H3N2 S 35 no
2013 2012.795 1-PB2 H3N2 S 33 no
2013 2013.044 1-PB2 H3N2 S 33 no
2013 2013.022 1-PB2 H3N2 S 34 no
2013 2013.063 1-PB2 H3N2 S 34 no
2013 2013.197 1-PB2 H3N2 S 30 no
2013 2012.932 1-PB2 H3N2 S 33 no
2013 2012.59 1-PB2 H3N2 S 24 no
2013 2013 1-PB2 H3N2 S 32 no
2013 2012.913 1-PB2 H3N2 S 31 no
2013 2012.918 1-PB2 H3N2 S 30 no
2013 2012.718 1-PB2 H3N2 S 35 no
2013 2012.913 1-PB2 H3N2 S 32 no
2013 2013.455 1-PB2 H3N2 S 31 no
2013 2012.954 1-PB2 H3N2 S 32 no
2013 2012.639 1-PB2 H3N2 S 299 yes
2013 2013.041 1-PB2 H3N2 S 33 no
2013 2013.016 1-PB2 H3N2 S 28 no
2013 2012.844 1-PB2 H3N2 S 31 no
2013 2012.527 1-PB2 H3N2 S 299 yes
2013 2012.699 1-PB2 H3N2 S 30 no
2013 2013.137 1-PB2 H3N2 S 36 no
2013 2012.981 1-PB2 H3N2 S 32 no
2013 2013.038 1-PB2 H3N2 S 33 no
2013 2013.036 1-PB2 H3N2 S 35 no
2013 2013.079 1-PB2 H3N2 S 34 no
2013 2012.885 1-PB2 H3N2 S 34 no
2013 2013.058 1-PB2 H3N2 S 32 no
2013 2013.074 1-PB2 H3N2 S 34 no
2013 2013.058 1-PB2 H3N2 S 35 no
2013 2012.754 1-PB2 H3N2 S 35 no
2013 2012.902 1-PB2 H3N2 S 30 no
2013 2012.59 1-PB2 H3N2 S 299 yes
2013 2013.003 1-PB2 H3N2 S 31 no
2013 2013 1-PB2 H3N2 S 33 no
2013 2012.997 1-PB2 H3N2 S 36 no
2013 2013.033 1-PB2 H3N2 S 32 no
2013 2012.932 1-PB2 H3N2 S 33 no
2013 2013.022 1-PB2 H3N2 S 34 no
2013 2012.989 1-PB2 H3N2 S 35 no
2013 2012.907 1-PB2 H3N2 S 35 no
2013 2013.005 1-PB2 H3N2 S 33 no
2013 2013.027 1-PB2 H3N2 S 33 no
2014 2014.285 1-PB2 H3N2 S 35 no
2014 2014.499 1-PB2 H3N2 S 28 no
2014 2014.014 1-PB2 H3N2 S 26 no
2014 2014.37 1-PB2 H3N2 S 35 no
2014 2013.866 1-PB2 H3N2 S 28 no
2014 2014.438 1-PB2 H3N2 S 38 no
2014 2014 1-PB2 H3N2 S 35 no
2014 2013.751 1-PB2 H3N2 S 35 no
2014 2013.515 1-PB2 H3N2 S 34 no
2014 2014.058 1-PB2 H3N2 S 38 no
2014 2013.507 1-PB2 H3N2 S 29 no
2014 2014.326 1-PB2 H3N2 S 38 no
2014 2013.97 1-PB2 H3N2 S 38 no
2014 2014.348 1-PB2 H3N2 S 39 no
2014 2014.178 1-PB2 H3N2 S 34 no
2014 2014.11 1-PB2 H3N2 S 28 no
2014 2014.186 1-PB2 H3N2 S 34 no
2014 2014.148 1-PB2 H3N2 S 33 no
2014 2013.619 1-PB2 H3N2 S 36 no
2014 2014.129 1-PB2 H3N2 S 34 no
2014 2014.326 1-PB2 H3N2 S 29 no
2014 2014.49 1-PB2 H3N2 S 40 no
2014 2014.285 1-PB2 H3N2 S 37 no
2014 2014 1-PB2 H3N2 S 27 no
2014 2013.964 1-PB2 H3N2 S 37 no
2014 2014.203 1-PB2 H3N2 S 37 no
2014 2014.099 1-PB2 H3N2 S 27 no
2014 2013.52 1-PB2 H3N2 S 33 no
2014 2014.162 1-PB2 H3N2 S 40 no
2014 2013.945 1-PB2 H3N2 S 38 no
2014 2013.562 1-PB2 H3N2 S 32 no
2014 2014.085 1-PB2 H3N2 S 26 no
2014 2013.507 1-PB2 H3N2 S 35 no
2014 2013.515 1-PB2 H3N2 S 26 no
