Year CollectionDate Gene Subtype Syn Distance DivPerSite
1998 1998.077 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.959 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.137 1-PB2 H3N2 S 114 0.200093047843282
1998 1997.989 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.583 1-PB2 H3N2 S 118 0.207113856539538
1998 1998.049 1-PB2 H3N2 S 114 0.200093047843282
1998 1997.918 1-PB2 H3N2 S 117 0.205358654365474
1998 1998.049 1-PB2 H3N2 S 109 0.191317036972963
1998 1998.359 1-PB2 H3N2 S 114 0.200093047843282
1998 1998.066 1-PB2 H3N2 S 119 0.208869058713602
1998 1997.967 1-PB2 H3N2 S 116 0.20360345219141
1998 1998.129 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.997 1-PB2 H3N2 S 116 0.20360345219141
1973 1973 1-PB2 H3N2 S 56 0.0982913217475773
1973 1973 1-PB2 H3N2 S 57 0.100046523921641
1973 1973 1-PB2 H3N2 S 54 0.0947809173994495
1973 1973 1-PB2 H3N2 S 55 0.0965361195735134
1973 1973 1-PB2 H3N2 S 57 0.100046523921641
1973 1973 1-PB2 H3N2 S 54 0.0947809173994495
1973 1973 1-PB2 H3N2 S 55 0.0965361195735134
1973 1973 1-PB2 H3N2 S 54 0.0947809173994495
1973 1973 1-PB2 H3N2 S 57 0.100046523921641
1983 1983 1-PB2 H3N2 S 84 0.147436982621366
1983 1983 1-PB2 H3N2 S 83 0.145681780447302
1983 1982.915 1-PB2 H3N2 S 87 0.152702589143558
1983 1983 1-PB2 H3N2 S 81 0.142171376099174
1983 1983 1-PB2 H3N2 S 86 0.150947386969494
1983 1983 1-PB2 H3N2 S 82 0.143926578273238
1983 1983 1-PB2 H3N2 S 81 0.142171376099174
1976 1976 1-PB2 H3N2 S 57 0.100046523921641
1976 1976 1-PB2 H3N2 S 65 0.114088141314152
1976 1976 1-PB2 H3N2 S 59 0.103556928269769
1976 1976 1-PB2 H3N2 S 57 0.100046523921641
1976 1976 1-PB2 H3N2 S 56 0.0982913217475773
1976 1976 1-PB2 H3N2 S 55 0.0965361195735134
1976 1976 1-PB2 H3N2 S 56 0.0982913217475773
1976 1976 1-PB2 H3N2 S 57 0.100046523921641
1976 1976 1-PB2 H3N2 S 57 0.100046523921641
1976 1976 1-PB2 H3N2 S 56 0.0982913217475773
1976 1976 1-PB2 H3N2 S 58 0.101801726095705
1976 1976 1-PB2 H3N2 S 62 0.108822534791961
1976 1976 1-PB2 H3N2 S 58 0.101801726095705
1976 1976 1-PB2 H3N2 S 58 0.101801726095705
1976 1976 1-PB2 H3N2 S 56 0.0982913217475773
1976 1976 1-PB2 H3N2 S 59 0.103556928269769
1976 1976 1-PB2 H3N2 S 59 0.103556928269769
1985 1985 1-PB2 H3N2 S 88 0.154457791317621
1985 1985 1-PB2 H3N2 S 87 0.152702589143558
1985 1985 1-PB2 H3N2 S 83 0.145681780447302
1985 1985 1-PB2 H3N2 S 83 0.145681780447302
1985 1985 1-PB2 H3N2 S 81 0.142171376099174
1985 1985 1-PB2 H3N2 S 82 0.143926578273238
1985 1985.085 1-PB2 H3N2 S 82 0.143926578273238
1985 1985 1-PB2 H3N2 S 86 0.150947386969494
1985 1985 1-PB2 H3N2 S 82 0.143926578273238
1985 1985 1-PB2 H3N2 S 83 0.145681780447302
