Year Gene BinFreq NS S ProportionNS NumVariants
within-host 6-NA 0.01 122 55 0.689265536723164 177
within-host 7-M1 0.01 56 19 0.746666666666667 75
within-host 7-M2 0.01 33 10 0.767441860465116 43
within-host 8-NEP 0.01 37 27 0.578125 64
within-host 8-NS1 0.01 71 36 0.663551401869159 107
within-host 1-PB2 0.0316227766016838 32 41 0.438356164383562 73
within-host 2-PB1 0.0316227766016838 26 21 0.553191489361702 47
within-host 3-PA 0.0316227766016838 45 35 0.5625 80
within-host 4-HA 0.0316227766016838 58 41 0.585858585858586 99
within-host 5-NP 0.0316227766016838 31 23 0.574074074074074 54
within-host 6-NA 0.0316227766016838 32 21 0.60377358490566 53
within-host 7-M1 0.0316227766016838 8 4 0.666666666666667 12
within-host 7-M2 0.0316227766016838 2 5 0.285714285714286 7
within-host 8-NEP 0.0316227766016838 8 9 0.470588235294118 17
within-host 8-NS1 0.0316227766016838 15 11 0.576923076923077 26
within-host 1-PB2 0.1 16 7 0.695652173913043 23
within-host 2-PB1 0.1 12 10 0.545454545454545 22
within-host 3-PA 0.1 14 10 0.583333333333333 24
within-host 4-HA 0.1 25 6 0.806451612903226 31
within-host 5-NP 0.1 4 11 0.266666666666667 15
within-host 6-NA 0.1 16 13 0.551724137931034 29
within-host 7-M1 0.1 2 3 0.4 5
within-host 7-M2 0.1 2 0 1 2
within-host 8-NEP 0.1 2 1 0.666666666666667 3
within-host 8-NS1 0.1 2 3 0.4 5
within-host 1-PB2 0.316227766016838 3 8 0.272727272727273 11
within-host 2-PB1 0.316227766016838 0 3 0 3
within-host 3-PA 0.316227766016838 0 3 0 3
within-host 4-HA 0.316227766016838 8 2 0.8 10
within-host 5-NP 0.316227766016838 2 6 0.25 8
within-host 6-NA 0.316227766016838 9 0 1 9
within-host 7-M1 0.316227766016838 1 1 0.5 2
within-host 7-M2 0.316227766016838 5 0 1 5
within-host 8-NEP 0.316227766016838 0 0 NA 0
within-host 8-NS1 0.316227766016838 1 0 1 1
within-host 1-PB2 0.00316227766016838 339 161 0.678 500
within-host 2-PB1 0.00316227766016838 305 198 0.606361829025845 503
within-host 3-PA 0.00316227766016838 325 170 0.656565656565657 495
within-host 4-HA 0.00316227766016838 328 187 0.636893203883495 515
within-host 5-NP 0.00316227766016838 165 133 0.553691275167785 298
within-host 6-NA 0.00316227766016838 188 97 0.659649122807018 285
within-host 7-M1 0.00316227766016838 85 56 0.602836879432624 141
within-host 7-M2 0.00316227766016838 40 25 0.615384615384615 65
within-host 8-NEP 0.00316227766016838 59 45 0.567307692307692 104
within-host 8-NS1 0.00316227766016838 113 53 0.680722891566265 166
within-host 1-PB2 0.01 159 98 0.618677042801556 257
