MinFreq Project Subtype Sample NumVariants
0 flu-McCrone H3N2 HS1484 13114
0 flu-McCrone H3N2 HS1487 13127
0 flu-McCrone H3N2 HS1500 13081
0 flu-McCrone H3N2 HS1505 13087
0 flu-McCrone H3N2 HS1507 13073
0 flu-McCrone H3N2 HS1509 13123
0 flu-McCrone H3N2 HS1510 13097
0 flu-McCrone H3N2 HS1516 13126
0 flu-McCrone H3N2 HS1517 13070
0 flu-McCrone H3N2 HS1518 13117
0 flu-McCrone H3N2 HS1519 13117
0 flu-McCrone H3N2 HS1520 13106
0 flu-McCrone H3N2 HS1525 13114
0 flu-McCrone H3N2 HS1530 13132
0 flu-McCrone H3N2 HS1531 13126
0 flu-McCrone H3N2 HS1532 13129
0 flu-McCrone H3N2 HS1535 13131
0 flu-McCrone H3N2 HS1536 13129
0 flu-McCrone H3N2 HS1537 13109
0 flu-McCrone H3N2 HS1543 13129
0 flu-McCrone H3N2 HS1544 12995
0 flu-McCrone H3N2 HS1554 13106
0 flu-McCrone H3N2 HS1562 13101
0 flu-McCrone H3N2 HS1563 13098
0 flu-McCrone H3N2 HS1564 13083
0 flu-McCrone H3N2 HS1566 13124
0 flu-McCrone H3N2 HS1567 13133
0 flu-McCrone H3N2 HS1573 13132
0 flu-McCrone H3N2 HS1579 13132
0 flu-McCrone H3N2 HS1595 13107
0 flu-McCrone H3N2 HS1596 13112
0 flu-McCrone H3N2 HS1604 13105
0 flu-McCrone H3N2 HS1607 13105
0 flu-McCrone H3N2 MH7385 13132
0 flu-McCrone H3N2 MH7390 13126
0 flu-McCrone H3N2 MH7391 13118
0 flu-McCrone H3N2 MH7409 13128
0 flu-McCrone H3N2 MH7440 13131
0 flu-McCrone H3N2 MH7455 13102
0 flu-McCrone H3N2 MH7492 13084
0 flu-McCrone H3N2 MH7505 13127
0 flu-McCrone H3N2 MH7520 13096
0 flu-McCrone H3N2 MH7564 13129
0 flu-McCrone H3N2 MH7565 13095
0 flu-McCrone H3N2 MH7611 13128
0 flu-McCrone H3N2 MH7612 13115
0 flu-McCrone H3N2 MH7627 13122
0 flu-McCrone H3N2 MH7687 13133
0 flu-McCrone H3N2 MH7755 13130
0 flu-McCrone H3N2 MH7796 13106
0 flu-McCrone H3N2 MH7799 12933
0 flu-McCrone H3N2 MH7800 13128
0 flu-McCrone H3N2 MH7804 13111
0 flu-McCrone H3N2 MH7842 13118
0 flu-McCrone H3N2 MH7843 13130
0 flu-McCrone H3N2 MH7844 13104
0 flu-McCrone H3N2 MH7845 13127
0 flu-McCrone H3N2 MH7851 13088
0 flu-McCrone H3N2 MH7852 13123
0 flu-McCrone H3N2 MH7855 13133
0 flu-McCrone H3N2 MH7860 13128
0 flu-McCrone H3N2 MH7884 13130
0 flu-McCrone H3N2 MH7885 13131
0 flu-McCrone H3N2 MH7886 13123
0 flu-McCrone H3N2 MH7890 13132
0 flu-McCrone H3N2 MH7891 13128
0 flu-McCrone H3N2 MH7893 13111
0 flu-McCrone H3N2 MH7905 13105
0 flu-McCrone H3N2 MH7953 13133
0 flu-McCrone H3N2 MH8041 13113
0 flu-McCrone H3N2 MH8052 13094
0 flu-McCrone H3N2 MH8088 13119
0 flu-McCrone H3N2 MH8089 13128
0 flu-McCrone H3N2 MH8090 13107
0 flu-McCrone H3N2 MH8125 13131
0 flu-McCrone H3N2 MH8126 13125
0 flu-McCrone H3N2 MH8129 13077
0 flu-McCrone H3N2 MH8137 13133
0 flu-McCrone H3N2 MH8155 13111
0 flu-McCrone H3N2 MH8156 11693
0 flu-McCrone H3N2 MH8158 13124
0 flu-McCrone H3N2 MH8159 13112
0 flu-McCrone H3N2 MH8160 13133
0 flu-McCrone H3N2 MH8165 13101
0 flu-McCrone H3N2 MH8183 13121
0 flu-McCrone H3N2 MH8186 13119
0 flu-McCrone H3N2 MH8308 13132
0 flu-McCrone H3N2 MH8309 13133
0 flu-McCrone H3N2 MH8354 13042
0 flu-McCrone H3N2 MH8386 13127
0 flu-McCrone H3N2 MH8390 13131
0 flu-McCrone H3N2 MH8391 13098
0 flu-McCrone H3N2 MH8392 13098
0 flu-McCrone H3N2 MH8393 13116
0 flu-McCrone H3N2 MH8396 13109
0 flu-McCrone H3N2 MH8424 13089
0 flu-McCrone H3N2 MH8439 13121
0 flu-McCrone H3N2 MH8442 13112
0 flu-McCrone H3N2 MH8445 13105
0 flu-McCrone H3N2 MH8447 13121
0 flu-McCrone H3N2 MH8586 13115
0 flu-McCrone H3N2 MH8589 13129
0 flu-McCrone H3N2 MH8592 13117
0 flu-McCrone H3N2 MH8688 12911
0 flu-McCrone H3N2 MH8690 12568
0 flu-McCrone H3N2 MH8692 13131
0 flu-McCrone H3N2 MH8700 13133
0 flu-McCrone H3N2 MH8714 13116
0 flu-McCrone H3N2 MH8766 13114
0 flu-McCrone H3N2 MH8922 13127
0 flu-McCrone H3N2 MH8924 13121
0 flu-McCrone H3N2 MH8925 13133
0 flu-McCrone H3N2 MH9045 13130
0 flu-McCrone H3N2 PC1A 13124
0 flu-McCrone H3N2 Perth_mp 13132
0 flu-McCrone H3N2 Vic_pool 13086
0 flu-McCrone pdmH1N1 1112 13095
0 flu-McCrone pdmH1N1 1137 13092
0 flu-McCrone pdmH1N1 1142 13084
0 flu-McCrone pdmH1N1 1143 12986
0 flu-McCrone pdmH1N1 1144 13041
0 flu-McCrone pdmH1N1 1311 13088
0 flu-McCrone pdmH1N1 1346 13092
0 flu-McCrone pdmH1N1 1347 13080
0 flu-McCrone pdmH1N1 1348 13093
0 flu-McCrone pdmH1N1 1349 13032
0 flu-McCrone pdmH1N1 1350 13095
0 flu-McCrone pdmH1N1 1351 13092
0 flu-McCrone pdmH1N1 1353 13094
0 flu-McCrone pdmH1N1 1357 13095
0 flu-McCrone pdmH1N1 1362 13091
0 flu-McCrone pdmH1N1 1363 13093
0 flu-McCrone pdmH1N1 1364 13091
0 flu-McCrone pdmH1N1 1370 13090
0 flu-McCrone pdmH1N1 1371 13094
0 flu-McCrone pdmH1N1 1374 13095
0 flu-McCrone pdmH1N1 1376 13095
0 flu-McCrone pdmH1N1 1401 13095
0 flu-McCrone pdmH1N1 1402 13083
0 flu-McCrone pdmH1N1 1403 13095
0 flu-McCrone pdmH1N1 1405 13095
0 flu-McCrone pdmH1N1 1406 13094
0 flu-McCrone pdmH1N1 1408 13095
0 flu-McCrone pdmH1N1 1410 13095
0 flu-McCrone pdmH1N1 1411 13095
0 flu-McCrone pdmH1N1 1413 13095
0 flu-McCrone pdmH1N1 1414 13093
0 flu-McCrone pdmH1N1 1415 13095
0 flu-McCrone pdmH1N1 Cali_pool 13092
0 flu-Xue-acute H3N2 WSPHL1-1 7021
0 flu-Xue-acute H3N2 WSPHL1-2 7978
0 flu-Xue-acute H3N2 WSPHL2-1 6111
0 flu-Xue-acute H3N2 WSPHL2-2 8434
0 flu-Xue-acute H3N2 WSPHL3-1 7562
0 flu-Xue-acute H3N2 WSPHL3-2 8358
0 flu-Xue-acute H3N2 WSPHL4-1 6549
0 flu-Xue-acute H3N2 WSPHL4-2 8748
0 flu-Xue-acute H3N2 WSPHL5-1 7132
0 flu-Xue-acute H3N2 WSPHL5-2 9980
0 flu-Xue-acute H3N2 WSPHL6-1 6835
0 flu-Xue-acute H3N2 WSPHL6-2 7879
0 flu-Xue-acute H3N2 WSPHL7-1 6020
0 flu-Xue-acute H3N2 WSPHL7-2 7464
0 flu-Xue-acute H3N2 WSPHL8-1 6948
0 flu-Xue-acute H3N2 WSPHL8-2 8008
0 flu-Xue-acute H3N2 WSPHL9-1 5414
0 flu-Xue-acute H3N2 WSPHL9-2 5111
